YEAR,MON,NINO34_MEAN,NINO34_CLIM,TROP_MEAN,TROP_CLIM,RONI,PHASE
1850,1,25.99,26.61,26.65,27.09,,M
1850,2,25.36,26.8,26.84,27.25,-1.14,L
1850,3,25.09,27.31,26.84,27.59,-1.51,L
1850,4,26.23,27.9,27.07,27.85,-1.16,L
1850,5,27.41,27.98,27.36,27.78,-0.69,L
1850,6,26.86,27.76,26.97,27.37,-0.09,N
1850,7,27.38,27.31,26.56,26.92,-0.05,N
1850,8,26.32,26.9,26.2,26.72,0.28,N
1850,9,26.57,26.74,26.28,26.8,0.33,N
1850,10,27.01,26.75,26.71,27.02,0.28,N
1850,11,26.13,26.77,26.72,27.15,-0.13,N
1850,12,25.57,26.62,26.76,27.12,-0.54,L
1851,1,25.78,26.61,26.7,27.09,-0.81,L
1851,2,25.39,26.8,26.67,27.25,-0.74,L
1851,3,26.23,27.31,26.98,27.59,-0.92,L
1851,4,26.35,27.9,27.07,27.85,-0.39,N
1851,5,27.73,27.98,27.12,27.78,-0.25,N
1851,6,27.24,27.76,27.05,27.37,0.14,N
1851,7,27.22,27.31,26.72,26.92,0.09,N
1851,8,27.02,26.9,26.52,26.72,0.57,E
1851,9,27.48,26.74,26.54,26.8,0.16,N
1851,10,25.45,26.75,26.64,27.02,-0.17,N
1851,11,26.07,26.77,26.95,27.15,-0.63,L
1851,12,26.16,26.62,26.78,27.12,-0.78,L
1852,1,24.71,26.61,26.49,27.09,-0.85,L
1852,2,25.39,26.8,26.45,27.25,-1.14,L
1852,3,26.01,27.31,27.07,27.59,-0.93,L
1852,4,26.79,27.9,27.44,27.85,-0.87,L
1852,5,27.14,27.98,27.36,27.78,-0.89,L
1852,6,26.66,27.76,27.13,27.37,-0.3,N
1852,7,27.7,27.31,26.75,26.92,-0.45,N
1852,8,25.7,26.9,26.35,26.72,0.27,N
1852,9,27.52,26.74,26.63,26.8,0.14,N
1852,10,26.85,26.75,26.88,27.02,0.52,E
1852,11,26.7,26.77,27,27.15,-0.01,N
1852,12,25.94,26.62,26.79,27.12,-0.21,N
1853,1,25.94,26.61,26.69,27.09,-0.36,N
1853,2,26.33,26.8,27.02,27.25,-0.27,N
1853,3,26.97,27.31,27.39,27.59,-0.43,N
1853,4,26.93,27.9,27.45,27.85,-0.25,N
1853,5,27.69,27.98,27.31,27.78,0.12,N
1853,6,28.05,27.76,27.02,27.37,0.18,N
1853,7,26.67,27.31,26.68,26.92,-0.07,N
1853,8,26.09,26.9,26.33,26.72,-0.45,N
1853,9,25.91,26.74,26.27,26.8,-0.45,N
1853,10,25.99,26.75,26.64,27.02,-0.05,N
1853,11,27.1,26.77,26.91,27.15,0.22,N
1853,12,26.62,26.62,26.77,27.12,0.38,N
1854,1,26.16,26.61,26.65,27.09,-0.12,N
1854,2,25.86,26.8,26.94,27.25,-0.36,N
1854,3,26.66,27.31,27.16,27.59,-0.44,N
1854,4,27.44,27.9,27.54,27.85,-0.07,N
1854,5,27.93,27.98,27.51,27.78,0.11,N
1854,6,27.65,27.76,27.09,27.37,0.15,N
1854,7,26.78,27.31,26.42,26.92,-0.35,N
1854,8,25.37,26.9,26.19,26.72,-0.7,L
1854,9,25.67,26.74,26.45,26.8,-0.46,N
1854,10,27.04,26.75,26.72,27.02,-0.26,N
1854,11,25.68,26.77,26.59,27.15,-0.33,N
1854,12,25.14,26.62,26.52,27.12,-0.47,N
